scheduleId,line,trainNumber,startStation,startTime,endStation,endTime,status,remarks
HB87-524-3,harbour,TV9,TNA,6:59:00,VSH,7:28:00,active,
HB87-524-4,harbour,P/PL37,VSH,7:58:00,PNVL,8:29:00,active,
HB87-525-1,harbour,P/TPL20,PNVL,8:04:00,NEU,8:27:00,active,
HB87-525-2,harbour,TNU12,NEU,8:52:00,TNA,9:22:00,active,
HB87-525-3,harbour,TPL15,TNA,9:39:00,PNVL,10:31:00,active,
HB87-525-4,harbour,TPL34,PNVL,12:19:00,TNA,13:12:00,active,
HB87-525-5,harbour,TV55,TNA,13:30:00,VSH,13:59:00,active,
HB87-525-6,harbour,P/PL105,VSH,14:19:00,PNVL,14:50:00,active,
HB87-526-1,harbour,WAITING,PNVL,,PNVL,,active,
HB87-527-1,harbour,TPL46,PNVL,15:53:00,TNA,16:45:00,active,
HB87-527-2,harbour,TNU47,TNA,17:00:00,NEU,17:30:00,active,
HB87-527-3,harbour,P/PL147,NEU,18:17:00,PNVL,18:40:00,active,
HB87-527-4,harbour,TPL66,PNVL,20:19:00,TNA,21:11:00,active,
HB87-527-5,harbour,TPL63,TNA,21:36:00,PNVL,22:28:00,active,
HB87-528-1,harbour,TPL4,PNVL,4:53:00,TNA,5:45:00,active,
HB87-528-2,harbour,TPL5,TNA,6:20:00,PNVL,7:12:00,active,
HB87-529-1,harbour,P/TPL10,PNVL,6:13:00,JNJ,6:40:00,active,
HB87-529-2,harbour,ER TPL22,JNJ,7:38:00,PNVL,8:05:00,active,
HB87-529-3,harbour,PLVD10,PNVL,8:38:00,VDLR,9:41:00,active,
HB87-529-4,harbour,PLVD15,VDLR,10:40:00,PNVL,11:42:00,cancelled,
HB87-530-1,harbour,P/TPL18,PNVL,7:43:00,TNA,8:36:00,active,
HB87-530-2,harbour,TV25,TNA,9:09:00,VSH,9:39:00,active,
HB87-530-3,harbour,TV32,VSH,10:15:00,TNA,10:45:00,active,
HB87-530-4,harbour,TNU25,TNA,10:55:00,NEU,11:25:00,active,
HB87-530-5,harbour,TNU30,NEU,12:23:00,TNA,12:53:00,active,
HB87-530-6,harbour,TPL27,TNA,13:24:00,PNVL,14:16:00,active,
HB87-531-1,harbour,P/TPL42,PNVL,15:04:00,TNA,15:56:00,active,
HB87-531-2,harbour,TV71,TNA,16:07:00,VSH,16:36:00,active,
HB87-531-3,harbour,TV78,VSH,16:57:00,TNA,17:28:00,active,
HB87-531-4,harbour,TNU57,TNA,18:49:00,NEU,19:19:00,active,
HB87-531-5,harbour,TNU60,NEU,20:03:00,TNA,20:33:00,active,
HB87-531-6,harbour,TPL59,TNA,20:50:00,PNVL,21:42:00,active,
HB87-532-1,harbour,TPL44,PNVL,15:36:00,TNA,16:28:00,active,
HB87-532-2,harbour,TV75,TNA,16:40:00,VSH,17:11:00,active,
HB87-532-3,harbour,P/PL149,VSH,18:22:00,PNVL,18:53:00,active,
HB87-532-4,harbour,TPL68,PNVL,20:51:00,TNA,21:46:00,cancelled,
HB87-532-5,harbour,TV113,TNA,22:25:00,VSH,22:54:00,active,
HB87-533-1,harbour,TV2,VSH,5:29:00,TNA,5:58:00,active,
HB87-533-2,harbour,TV5,TNA,6:09:00,VSH,6:38:00,active,
HB87-533-3,harbour,TV14,VSH,7:36:00,TNA,8:06:00,active,
HB87-533-4,harbour,TV19,TNA,8:23:00,VSH,8:52:00,active,
HB87-533-5,harbour,P/PL51,VSH,9:13:00,PNVL,9:45:00,active,
HB87-534-1,harbour,P/TPL16,PNVL,7:18:00,JNJ,7:44:00,active,
HB87-534-2,harbour,ER MNKD4,VSH,8:43:00,MNKD,8:51:00,cancelled,
HB87-534-3,harbour,M4,MNKD,8:53:00,CSMT,9:34:00,active,
HB87-534-4,harbour,BR19,CSMT,10:26:00,BEPR,11:31:00,active,
HB87-534-5,harbour,BR40,BEPR,11:39:00,CSMT,12:43:00,active,
HB87-534-6,harbour,P/PL101,CSMT,13:15:00,PNVL,14:35:00,active,
HB87-535-1,harbour,P/PL94,PNVL,13:57:00,VSH,14:27:00,active,
HB87-535-2,harbour,TV62,VSH,14:56:00,TNA,15:25:00,active,
HB87-535-3,harbour,TPL37,TNA,16:00:00,PNVL,16:52:00,active,
HB87-535-4,harbour,TPL58,PNVL,18:22:00,TNA,19:14:00,active,
HB87-535-5,harbour,TPL53,TNA,19:48:00,PNVL,20:42:00,cancelled,
HB87-536-1,harbour,TPL54,PNVL,17:37:00,TNA,18:29:00,active,
HB87-536-2,harbour,TV89,TNA,18:42:00,VSH,19:11:00,active,
HB87-536-3,harbour,TV100,VSH,20:12:00,TNA,20:41:00,active,
HB87-536-4,harbour,TPL61,TNA,21:11:00,PNVL,22:02:00,active,
HB87-536-5,harbour,ERSCS TPL69,PNVL,23:55:00,JNJ,0:19:00,active,
HB87-537-1,harbour,ER TPL18,JNJ,7:06:00,PNVL,7:32:00,active,
HB87-537-2,harbour,TPL18,PNVL,7:43:00,TNA,8:36:00,active,
HB87-537-3,harbour,TNU15,TNA,8:51:00,NEU,9:21:00,active,
HB87-537-4,harbour,P/PL55,NEU,9:52:00,PNVL,10:14:00,active,
HB87-538-1,harbour,WAITING,PNVL,,PNVL,,active,
HB87-539-1,harbour,PL190,PNVL,22:23:00,CSMT,23:43:00,active,
HB87-539-2,harbour,PL5,CSMT,0:40:00,PNVL,2:00:00,active,
