signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
L-024,,,CSMT-KYN,UP LOC,UP,,6/213,,,,Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-022,,,CSMT-KYN,UP LOC,UP,PF-2 STR,,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,PF-2,,,,,1
L-020,,,CSMT-KYN,UP LOC,UP,,5/221,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-018,,,CSMT-KYN,UP LOC,UP,PF-2 STR,,,,,Automatic,,Right,,,1,0,0,0,1,0,0,0,0,,,,,,1
BY S-39,BY,Byculla,CSMT-KYN,UP LOC,UP,,4/256,,,,Semi-Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,UP TH S-15,Book shows flag marker referencing UP TH S-15,,,,1
BY S-16,BY,Byculla,CSMT-KYN,UP LOC,UP,PF-2 STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-014,,,CSMT-KYN,UP LOC,UP,,3/231,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-012,,,CSMT-KYN,UP LOC,UP,,2/247,,,,Automatic,,Extreme Right,Left,,0,1,0,0,0,0,0,0,0,,,,,,1
L-010,,,CSMT-KYN,UP LOC,UP,,2/231,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
L-008 REP,,,CSMT-KYN,UP LOC,UP,ON PF,,,,,Repeater,,Right,Right,,1,0,0,0,0,0,0,0,0,,,,,,1
L-008,,,CSMT-KYN,UP LOC,UP,PF-2 STR,2/203,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-006,,,CSMT-KYN,UP LOC,UP,,1/244,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-004,,,CSMT-KYN,UP LOC,UP,,1/214,,,,Automatic,,Right,Left,,1,0,0,0,0,0,0,0,0,,,,,,1
L-002,,,CSMT-KYN,UP LOC,UP,PF 4 STR,,,,,Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
CSMT S-54,CSMT,CSMT,CSMT-KYN,UP LOC,UP,,,,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,1,2,RI: S-27 ; S-24 ; S-23,Book shows route indicator with S-27 left and S-24 / S-23 right,,,,1
CSMT S-26,CSMT,CSMT,CSMT-KYN,UP LOC,UP,,,,,,Semi-Automatic,,Right,Left,,1,0,0,0,0,0,0,0,0,PF-3,Book shows flag marker PF-3 (RHS),,,,1
CSMT S-27,CSMT,CSMT,CSMT-KYN,UP LOC,UP,,,,,,Semi-Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,PF-6,Book shows flag marker PF-6,,,,1
CSMT S-24,CSMT,CSMT,CSMT-KYN,UP LOC,UP,,,,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,FOR PF-3,,,,,1
