signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
K-4314,,,CSMT-KYN,UP TH,UP,43/435,43/435,44.148,19.19456,73.05543,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-4308,,,CSMT-KYN,UP TH,UP,43/423,43/423,43.689,19.19319,73.05255,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
DW S-67,DIVA,DIVA,CSMT-KYN,UP TH,UP,43/405,43/405,43.321,19.19136,73.04845,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
DW S-65,DIVA,DIVA,CSMT-KYN,UP TH,UP,42/435,42/435,42.803,19.18984,73.04505,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
DW S-54,DIVA,DIVA,CSMT-KYN,UP TH,UP,PF-4 STR,42/37,42.212,19.18814,73.04104,Semi-Automatic,,Right,,,0,0,1,0,0,0,1,0,0,,,,200,,1
DW S-49,DIVA,DIVA,CSMT-KYN,UP TH,UP,41/431,41/431,41.766,19.18685,73.03816,Semi-Automatic,,Left,,,0,0,1,0,0,1,1,1,1,RI:L1= S-47; R1= S-45,Book shows one left and one right arms on top of vertical stem,,200,,1
DW S-46,DIVA,DIVA,CSMT-KYN,UP TH,UP,41/415,41/415,41.416,19.18521,73.03436,Semi-Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,200,,1
K-4020,,,CSMT-KYN,UP TH,UP,40/439,40/439,41.026,19.18436,73.03009,Automatic,,Extreme Right,Right,,0,1,0,0,0,0,0,0,0,,,,200,,1
K-4014,,,CSMT-KYN,UP TH,UP,40/423 A,40/423 A,40.636,19.18525,73.02687,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-3912,,,CSMT-KYN,UP TH,UP,39/425,39/425,40.23,19.19157,73.02307,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-3904,,,CSMT-KYN,UP TH,UP,39/407,39/407,39.564,19.19581,73.02323,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,200,,1
K-3810,,,CSMT-KYN,UP TH,UP,38/427,38/427,38.917,19.20096,73.02163,Automatic,,Extreme Right,Left,,0,1,0,0,0,0,0,0,0,,,,200,,1
K-3804,,,CSMT-KYN,UP TH,UP,38/409,38/409,38.446,19.20408,73.01888,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-3712,,,CSMT-KYN,UP TH,UP,37/437 A,37/437 A,37.751,19.2058,73.01551,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-3704,,,CSMT-KYN,UP TH,UP,37/411,37/411,37.164,19.20521,73.00945,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-3604,,,CSMT-KYN,UP TH,UP,36/429,36/429,36.551,19.20203,73.00513,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-3514,,,CSMT-KYN,UP TH,UP,35/435 A,35/435 A,36.101,19.19809,73.00041,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-3506,,,CSMT-KYN,UP TH,UP,35/419A,35/419A,35.671,19.19518,72.99696,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-3414,,,CSMT-KYN,UP TH,UP,34/447,34/447,35.271,19.19236,72.99334,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-3408,,,CSMT-KYN,UP TH,UP,34/429,34/429,34.691,19.19057,72.99061,Automatic,,Left,Right,,0,0,1,0,1,0,0,0,0,,,,200,,1
TNA S-90,TNA,Thane,CSMT-KYN,UP TH,UP,34/405A,34/405A,34.291,19.18906,72.98609,Semi-Automatic,,Left,Right,,0,0,1,0,0,1,0,2,0,RI:L1= PF-7; L2= S-83,Book shows two left arms on top of vertical stem,,250,,1
TNA S-82,TNA,Thane,CSMT-KYN,UP TH,UP,33/341,33/341,33.931,19.18798,72.98168,Semi-Automatic,,Extreme Right,Left,,0,1,0,0,0,0,0,0,0,,,,300,,1
TNA S-65,TNA,Thane,KYN-CSMT,UP TH,UP,PF-6  KYN END,,33.318,19.18688,72.97865,Semi-Automatic,,Right,,,1,0,0,0,1,0,0,0,0,,,,200,,1
TNA S-46,TNA,Thane,CSMT-KYN,UP TH,UP,PF-6 STR,,32.709,19.18529,72.97334,Semi-Automatic,,Right,,,1,0,0,0,0,0,1,0,0,,,,200,,1
TNA S-45,TNA,Thane,CSMT-KYN,UP TH,UP,PF-5 UP STR,,,19.18532,72.97333,Semi-Automatic,,Left,,,0,0,1,0,0,1,0,0,0,,,,200,,1
TNA S-11,TNA,Thane,CSMT-KYN,UP TH,UP,32/411,32/411,32.19,19.18327,72.96869,Semi-Automatic,,Left,Left,,0,0,1,0,0,0,1,0,0,,,,200,,1
MLND S-16,MLND,Mulund,CSMT-KYN,UP TH,UP,31/409,31/409,31.757,19.17724,72.96211,Semi-Automatic,,Left,,,0,0,1,0,0,1,0,0,1,RI:R1= UP LL,Book shows one right arm on top of vertical stem,,300,,1
K-056,MLND,Mulund,CSMT-KYN,UP TH,UP,30/429,30/429,31.354,19.17393,72.95873,Automatic,,Left,,,0,0,1,0,1,0,0,0,0,,,,250,,1
MLND S-11,MLND,Mulund,CSMT-KYN,UP TH,UP,PF-4 STR,PF STR,30.957,19.17063,72.95545,Semi-Automatic,,Left,,,0,0,1,0,0,1,0,2,0,RI:L1= 6TH LINE; L2= NGSM,Book shows two left arms on top of vertical stem,,200,,1
K-054,,,CSMT-KYN,UP TH,UP,29/427,29/427,30.557,19.16685,72.9525,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-052,,,CSMT-KYN,UP TH,UP,29/407,29/407,30.159,19.16323,72.95052,Automatic,,Left,Left,,0,0,1,0,1,0,0,0,0,,,,200,,1
K-2808,,,CSMT-KYN,UP TH,UP,28/423,28/423,29.377,19.15742,72.94828,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,300,,1
K-050,,,CSMT-KYN,UP TH,UP,27/439,27/439,28.831,19.15225,72.94534,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-048,,,CSMT-KYN,UP TH,UP,27/419,27/419,28.168,19.14914,72.94296,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
BND S-24,BND,Bhandup,CSMT-KYN,UP TH,UP,27/401,27/401,27.562,19.14638,72.94082,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-046,,,CSMT-KYN,UP TH,UP,PF-4 STR,26/417,27.146,19.1412,72.93681,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,300,,1
K-2514,,,CSMT-KYN,UP TH,UP,25/441,25/441,26.756,19.13812,72.93444,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-044 A,,,CSMT-KYN,UP TH,UP,25/421,25/421,26.396,19.13534,72.93227,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-044,,,CSMT-KYN,UP TH,UP,25/405,25/405,25.71,19.13222,72.92997,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,200,,1
